firstname,lastname,gender,dob,auth,subject1,grade1,subject2,grade2,subject3,grade3,subject4,grade4,subject5,grade5,has_duplicate_subjects
CHARLOTTE, Wright,F,1977-03-06, Bath/Avon,English Literature,A,Maths,U,English Language,Invalid,Geography,U,History,G,False
LEIGH, Roberts,U,1977-05-31, Herts,English Language,E,Double Science,B,English Literature,C,Geography,E,Maths,B,False
MICHAEL, Clark,M,1977-04-04, Wolverhampton,English Literature,U,Maths,F,Double Science,C,Geology,G,History,A*,False
LUKE, White,M,1978-11-25, Bath/Avon,Maths,D,English Language,A*,Double Science,G,Geography,C,English Literature,E,False
TAYLOR, Clark,M,1979-08-13, Bath/Avon,Maths,A,History,NA,English Literature,F,English Language,C,Double Science,D,False
JADE, Green,U,1977-07-20, Wolverhampton,English Literature,F,English Literature,A*,Maths,E,History,B,Double Science,B,True
ALEXANDRA, Roberts,F,1979-05-06, Bath/Avon,English Language,Invalid,English Literature,G,Geology,A*,English Literature,U,Maths,B,True
MORGAN, Wilson,M,1979-12-29, Herts,English Language,E,Double Science,B,NA,U,Geography,E,Maths,A,False
JORDAN, Jackson,F,1978-07-17, Wolverhampton,English Literature,A*,English Literature,G,Double Science,G,Maths,Invalid,English Language,U,True
KELLY, Green,M,1977-06-13, Wolverhampton,Geography,U,English Literature,D,Maths,A*,Double Science,G,History,F,False
THOMAS, Smith,M,1978-05-13, Herts,NA,F,English Language,D,Double Science,A*,Double Science,G,Geology,F,True
LUKE, Green,M,1977-10-02, Wolverhampton,English Literature,U,English Language,B,Geography,G,Maths,E,Double Science,G,False
VICTORIA, Evans,F,1979-02-14, Herts,NA,F,History,U,English Literature,A,Double Science,U,Geography,U,False
BENJAMIN, Clark,M,1978-03-18, Herts,Geography,A,Double Science,D,NA,E,English Language,B,Maths,F,False
CHARLES, Taylor,M,1978-06-02, Wolverhampton,NA,A*,Double Science,G,English Literature,C,Maths,A,History,NA,False
KELLY, Clark,M,1978-08-24, Herts,English Language,A*,Maths,C,Geology,A*,Double Science,A,English Literature,U,False
SHANNON, Clark,F,1979-04-25, Herts,History,A+,Maths,D,Double Science,U,English Language,F,English Literature,A,False
MARK, Wood,M,1978-03-23, Wolverhampton,History,F,Double Science,F,Maths,B,English Literature,A,Geography,U,False
GEORGINA, Williams,F,1978-09-19, Bath/Avon,Maths,D,Double Science,B,English Literature,A*,English Language,G,History,U,False
BENJAMIN, Williams,M,1978-01-31, Herts,English Language,U,Geography,U,Maths,D,Double Science,A*,English Literature,D,False
LUKE, Wright,M,1979-04-09, Herts,History,A,English Language,A*,English Literature,D,Geography,U,Double Science,F,False
BETHANY, Wilson,F,1978-01-06, Wolverhampton,Double Science,D,English Language,E,Maths,D,History,B,English Literature,Invalid,False
LEWIS, ,M,1977-03-13, Bath/Avon,Geology,F,NA,U,English Literature,C,Maths,D,English Language,C,False
JORDAN, Green,M,1978-11-04, Wolverhampton,History,E,English Language,G,Geography,D,English Literature,D,Maths,G,False
GEORGIA, Smith,F,1977-05-26, Bath/Avon,Double Science,C,English Literature,U,History,NA,Maths,U,Geography,A,False
NATHAN, Clark,M,1979-07-10, Herts,Geography,G,Double Science,A,History,D,English Language,G,Maths,A,False
DAVID, Davies,M,1977-05-01, Bath/Avon,English Language,E,NA,E,History,D,Geography,D,Double Science,E,False
CHARLOTTE, Clark,F,1978-08-31, Herts,History,D,English Language,U,Maths,G,Geography,A*,English Literature,B,False
DANIEL, Jones,M,1978-02-14, Wolverhampton,English Language,D,Geography,B,Maths,A*,English Literature,A*,Double Science,C,False
UNKNOWN, Wood,F,1979-02-04, Herts,Maths,F,Double Science,A,English Literature,D,History,C,Geography,F,False
CHARLES, White,M,1977-11-13, Herts,Double Science,E,Maths,D,Geography,G,English Language,B,History,A*,False
UNKNOWN, Wright,F,1978-01-25, Wolverhampton,History,B,Geography,F,English Literature,C,Double Science,D,Geology,A,False
AMY, Jackson,F,1977-03-03, Herts,Geology,F,Double Science,D,English Language,U,History,E,English Literature,A*,False
HOLLY, Thompson,F,1979-11-09, Wolverhampton,History,F,English Literature,U,Geography,A*,Double Science,U,Maths,D,False
MELISSA, Green,O,1978-04-09, Herts,English Literature,F,Double Science,F,History,D,Maths,D,Geography,F,False
MORGAN, Roberts,M,1978-09-17, Bath/Avon,Double Science,U,English Literature,A+,History,F,English Language,A,Geography,D,False
RYAN, Jackson,M,1977-11-15, Herts,Geography,G,English Literature,B,Double Science,E,English Language,G,Maths,Invalid,False
AMY, White,O,1977-11-02, Herts,Geography,A*,English Language,U,Maths,C,Double Science,B,History,D,False
GEORGIA, Evans,F,1978-06-05, Bath/Avon,Double Science,A*,NA,U,Maths,F,English Literature,A+,English Literature,G,True
ALEXIS, Smith,F,1978-07-29, Herts,Geography,Invalid,Maths,F,Double Science,E,English Language,F,History,B,False
ELEANOR, Wilson,F,1985-05-15, Herts,Maths,E,Double Science,A,History,F,Geography,A*,English Literature,A,False
BRADLEY, Roberts,M,1979-05-20, Bath/Avon,English Literature,D,English Language,Invalid,Maths,C,Geology,U,Geography,C,False
LOUISE, Taylor,F,1973-07-29, Wolverhampton,Geography,A,History,E,English Language,A*,English Literature,G,Maths,A*,False
GEMMA, Thompson,U,1979-07-23, Bath/Avon,Geology,U,Double Science,G,NA,A,English Literature,F,Geography,U,False
JAMIE, Walker,M,1978-04-08, Wolverhampton,English Literature,A*,Maths,D,History,C,English Language,A*,Geography,D,False
JORDAN, Clark,M,1977-10-12, Herts,English Literature,A+,Double Science,C,English Language,F,Maths,B,Geography,B,False
REBECCA, Brown,F,1978-07-11, Wolverhampton,Maths,C,English Language,E,English Literature,NA,History,U,Double Science,B,False
ALEXIS, Brown,M,1978-09-16, Bath/Avon,English Literature,C,Maths,G,Double Science,A*,English Language,U,History,F,False
SARAH, Thompson,F,1979-12-17, Wolverhampton,English Language,D,Geology,E,Double Science,G,Maths,B,History,C,False
